Release,Total Gross,Release Date,Distributor,Release Month
Late Night with the Devil,10001000.0,2024-03-22,IFC Films,March
Lisa Frankenstein,9774285.0,2024-02-09,Focus Features,February
Piece by Piece,9756635.0,2024-10-11,Focus Features,October
Saturday Night,9511315.0,2024-09-27,Sony Pictures Releasing,September
The Crow,9275659.0,2024-08-23,Lionsgate,August
Babygirl,28196732.0,2024-12-25,A24,December
Thelma,9002073.0,2024-06-21,Magnolia Pictures,June
The Lord of the Rings: The War of the Rohirrim,9158572.0,2024-12-13,Warner Bros.,December
Love Lies Bleeding,8335797.0,2024-03-08,A24,March
The Zone of Interest,8659464.0,2024-12-08,A24,December
Spy x Family Code: White,8110042.0,2024-04-19,Crunchyroll,April
Ferrari,18550028.0,2024-12-25,Neon,December
The Chosen: S4 Episodes 7-8,7729152.0,2024-02-29,Fathom Events,February
A Real Pain,8344978.0,2024-11-01,Searchlight Pictures,November
Megalopolis,7629085.0,2024-09-27,Lionsgate,September
Sight,7206741.0,2024-05-24,Angel,May
Haikyu!! The Dumpster Battle,7071622.0,2024-05-31,Crunchyroll,May
Afraid,6725687.0,2024-08-30,Sony Pictures Releasing,August
The Hunger Games: The Ballad of Songbirds & Snakes,166350594.0,2024-11-17,Lionsgate,November
I.S.S.,6573799.0,2024-01-19,Bleecker Street Media,January
Pushpa: The Rule - Part 2,13000000.0,2024-12-05,AA Films,December
Cuckoo,6217733.0,2024-08-09,Neon,August
Back to Black,6178165.0,2024-05-17,Focus Features,May
The Book of Clarence,6132813.0,2024-01-12,Sony Pictures Releasing,January
The Nightmare Before Christmas2024 Re-release,6124705.0,2024-10-11,Walt Disney Studios Motion Pictures,October
Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,6013515.0,2024-04-15,Sony Pictures Releasing,April
Someone Like You,5937306.0,2024-04-05,Fathom Events,April
Trolls Band Together,103270155.0,2024-11-17,Universal Pictures,November
One Life,5716885.0,2024-03-15,Bleecker Street Media,March
Devara Part 1,5600000.0,2024-09-26,Prathyangira Cinemas,September
The Killer's Game,5404378.0,2024-09-13,Lionsgate,September
My Old Ass,5372282.0,2024-09-13,Amazon MGM Studios,September
White Bird,5069171.0,2024-10-04,Lionsgate,October
My Hero Academia: You're Next,5041781.0,2024-10-11,Toho International,October
Kinds of Kindness,5038931.0,2024-06-21,Searchlight Pictures,June
Drive-Away Dolls,5028215.0,2024-02-23,Focus Features,February
The Fire Inside,8093190.0,2024-12-25,Amazon MGM Studios,December
I Saw the TV Glow,5017817.0,2024-05-03,A24,May
Wicked Little Letters,5008179.0,2024-03-29,Sony Pictures Releasing,March
Dìdi,4839360.0,2024-07-26,Focus Features,July
Origin,4689830.0,2024-12-08,Neon,December
Land of Bad,4620045.0,2024-02-16,The Avenue Entertainment,February
The Exorcism,4530418.0,2024-06-21,Vertical Entertainment,June
Y2K,4446596.0,2024-12-06,A24,December
In a Violent Nature,4229999.0,2024-05-31,IFC Films,May
For King + Country: A Drummer Boy Christmas - Live,4227406.0,2024-12-05,Fathom Events,December
The Apprentice,4001904.0,2024-10-11,Briarcliff Entertainment,October
Babes,3800038.0,2024-05-17,Neon,May
Perfect Days,3766668.0,2024-02-07,Neon,February
Oppenheimer,330078895.0,2024-07-21,Universal Pictures,July
All of Us Strangers,4050103.0,2024-12-22,Searchlight Pictures,December
Shrek 22024 Re-release,3427910.0,2024-04-12,DreamWorks,April
Wish,63973821.0,2024-11-22,Walt Disney Studios Motion Pictures,November
Solo Leveling: ReAwakening,3350693.0,2024-12-06,Sony Pictures Releasing,December
Queer,3736813.0,2024-11-27,A24,November
God's Not Dead: In God We Trust,3269322.0,2024-09-12,Fathom Events,September
The Lord of the Rings: The Fellowship of the Ring2024 Re-release,3256658.0,2024-06-07,Fathom Events,June
2024 Oscar Nominated Short Films: Documentary,3162293.0,2024-02-16,ShortsTV,February
The Front Room,3092269.0,2024-09-06,A24,September
Strange Darling,3083595.0,2024-08-23,-,August
The Long Game,3060040.0,2024-04-12,-,April
Jesus Thirsts: The Miracle of the Eucharist,2927121.0,2024-06-04,Fathom Events,June
1992,2906073.0,2024-08-30,Lionsgate,August
The Fabulous Four,2854291.0,2024-07-26,Bleecker Street Media,July
My Penguin Friend,2769460.0,2024-08-16,Roadside Attractions,August
Absolution,2716343.0,2024-11-01,The Samuel Goldwyn Company,November
The Taste of Things,2654510.0,2024-02-09,IFC Films,February
GHOST: Rite Here Rite Now,2647702.0,2024-06-20,Trafalgar Releasing,June
Ezra,2631460.0,2024-05-31,Bleecker Street Media,May
Sight & Sound Presents: Daniel LIVE,2629933.0,2024-08-30,Fathom Events,August
Boy Kills World,2626127.0,2024-04-26,Roadside Attractions,April
"Hello, Love, Again",2625000.0,2024-11-14,-,November
Escape from Germany,2616475.0,2024-04-12,Susan Tuckett Media,April
Jung Kook: I Am Still,2574318.0,2024-09-18,Trafalgar Releasing,September
The Lord of the Rings: The Two Towers2024 Re-release,2566412.0,2024-06-07,Fathom Events,June
The Blue Angels,2560945.0,2024-05-17,Amazon MGM Studios,May
Problemista,2503154.0,2024-03-01,A24,March
The American Society of Magical Negroes,2480645.0,2024-03-15,Focus Features,March
The Lord of the Rings: The Return of the King2024 Re-release,2450927.0,2024-06-10,Fathom Events,June
Summer Camp,2403638.0,2024-05-31,Roadside Attractions,May
Sing Sing,2403211.0,2024-07-12,A24,July
Howl's Moving Castle20th Anniversary – Studio Ghibli Fest 2024,2384690.0,2024-09-26,Fathom Events,September
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2328339.0,2024-12-12,Trafalgar Releasing,December
Hitpig,2324019.0,2024-11-01,Viva Pictures,November
Elevation,2321801.0,2024-11-08,Vertical Entertainment,November
Alien2024 Re-release,2305647.0,2024-04-26,Walt Disney Studios Motion Pictures,April
Exhuma,2310900.0,2024-03-15,Well Go USA Entertainment,March
Flow,4844117.0,2024-11-22,Janus Films,November
In the Land of Saints and Sinners,2258795.0,2024-03-29,The Samuel Goldwyn Company,March
Bhool Bhulaiyaa 3,2230000.0,2024-11-01,-,November
The Lion King2024 Re-release,2195943.0,2024-07-12,Walt Disney Studios Motion Pictures,July
Singham Again,2190000.0,2024-11-01,-,November
Stree 2,2570000.0,2024-08-16,Parthenos,August
The Holdovers,20355375.0,2024-10-27,Focus Features,October
Average Joe,2106965.0,2024-10-11,Fathom Events,October
The Ark and the Darkness,2097560.0,2024-03-20,Fathom Events,March
Between the Temples,2084122.0,2024-08-23,Sony Pictures Classics,August
Lee,2005488.0,2024-09-27,Roadside Attractions,September
Look Back,2002270.0,2024-10-04,GKIDS,October
Yolo,2001584.0,2024-03-08,Sony Pictures Releasing,March
Queen Rock Montreal,2000000.0,2024-01-18,-,January
The Order,2010901.0,2024-12-06,Vertical Entertainment,December
SUGA: Agust D Tour 'D-DAY' the Movie,1951896.0,2024-04-10,Trafalgar Releasing,April
Out of Darkness,1951547.0,2024-02-09,Bleecker Street Media,February
