Release,Total Gross,Release Date,Distributor,Release Month
A Minecraft Movie,423949195.0,2025-04-04,Warner Bros.,April
Lilo & Stitch,423778855.0,2025-05-23,Walt Disney Studios Motion Pictures,May
Superman,354184465.0,2025-07-11,Warner Bros.,July
Jurassic World: Rebirth,339640400.0,2025-07-02,Universal Pictures,July
Sinners,279653537.0,2025-04-18,Warner Bros.,April
The Fantastic Four: First Steps,274286610.0,2025-07-25,Walt Disney Studios Motion Pictures,July
How to Train Your Dragon,262958100.0,2025-06-13,Universal Pictures International (UPI),June
Captain America: Brave New World,200500001.0,2025-02-14,Walt Disney Studios Motion Pictures,February
Mission: Impossible - The Final Reckoning,197413515.0,2025-05-23,Paramount Pictures International,May
Thunderbolts*,190274328.0,2025-05-02,Walt Disney Studios Motion Pictures,May
F1: The Movie,189527111.0,2025-06-27,Warner Bros.,June
The Conjuring: Last Rites,177521583.0,2025-09-05,Warner Bros.,September
Weapons,151550044.0,2025-08-08,Warner Bros.,August
Final Destination: Bloodlines,138130814.0,2025-05-16,Warner Bros.,May
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,133547469.0,2025-09-12,Sony Pictures Releasing,September
Mufasa: The Lion King,254567693.0,2025-12-20,Walt Disney Studios Motion Pictures,December
Dog Man,97970355.0,2025-01-31,Universal Pictures,January
Freakier Friday,94186236.0,2025-08-08,Walt Disney Studios Motion Pictures,August
Snow White,87203963.0,2025-03-21,Walt Disney Studios Motion Pictures,March
Sonic the Hedgehog 3,236115100.0,2025-12-20,Paramount Pictures,December
The Bad Guys 2,82547385.0,2025-08-01,Universal Pictures,August
Elio,72987454.0,2025-06-20,Walt Disney Studios Motion Pictures,June
Tron: Ares,71260727.0,2025-10-10,Walt Disney Studios Motion Pictures,October
28 Years Later,70446897.0,2025-06-20,Sony Pictures Releasing,June
Black Phone 2,70108550.0,2025-10-17,Universal Pictures,October
One Battle After Another,69350289.0,2025-09-26,IMAX,September
The Accountant 2,65523366.0,2025-04-25,Amazon MGM Studios,April
The King of Kings,60270106.0,2025-04-11,Angel,April
Ballerina,58051327.0,2025-06-06,Lionsgate,June
Moana 2,460405297.0,2025-11-27,Walt Disney Studios Motion Pictures,November
The Naked Gun,52647396.0,2025-08-01,Paramount Pictures International,August
Karate Kid: Legends,52547391.0,2025-05-30,Sony Pictures Releasing,May
One of Them Days,50054690.0,2025-01-17,Sony Pictures Releasing,January
Nosferatu,95608235.0,2025-12-25,Focus Features,December
A Complete Unknown,75001720.0,2025-12-25,Searchlight Pictures,December
Mickey 17,46047147.0,2025-03-07,Warner Bros.,March
Paddington in Peru,45770312.0,2025-02-14,Sony Pictures Releasing,February
Downton Abbey: The Grand Finale,44996590.0,2025-09-12,Focus Features,September
The Amateur,40759635.0,2025-04-11,20th Century Studios,April
Wicked,473231120.0,2025-11-22,Universal Pictures,November
Predator: Badlands,40000000.0,2025-11-07,Walt Disney Studios Motion Pictures,November
The Monkey,39724909.0,2025-02-21,Neon,February
Regretting You,38596498.0,2025-10-24,Paramount Pictures International,October
Chainsaw Man - The Movie: Reze Arc,38031234.0,2025-10-24,Sony Pictures Releasing,October
A Working Man,37000711.0,2025-03-28,Amazon MGM Studios,March
Materialists,36521973.0,2025-06-13,A24,June
Den of Thieves: Pantera,36015016.0,2025-01-10,Lionsgate,January
The Long Walk,35163573.0,2025-09-12,Lionsgate,September
Star Wars: Episode III - Revenge of the Sith20th anniversary,34107714.0,2025-04-25,Walt Disney Studios Motion Pictures,April
Taylor Swift: The Official Release Party of a Showgirl,34062774.0,2025-10-03,AMC Theatres,October
I Know What You Did Last Summer,32165634.0,2025-07-18,Sony Pictures Releasing,July
Gabby's Dollhouse: The Movie,31872060.0,2025-09-26,Universal Pictures International (UPI),September
Smurfs,31075170.0,2025-07-18,Paramount Pictures International,July
Heart Eyes,30415738.0,2025-02-07,Paramount Pictures International,February
Flight Risk,29783527.0,2025-01-24,Lionsgate,January
Warfare,26000309.0,2025-04-11,A24,April
Him,24936390.0,2025-09-19,Universal Pictures International (UPI),September
M3GAN 2.0,24101280.0,2025-06-27,Universal Pictures,June
KPop Demon Hunters,24300000.0,2025-08-23,Netflix,August
Ne Zha 2,23322209.0,2025-02-14,CMC Pictures,February
The Woman in the Yard,22405985.0,2025-03-28,Universal Pictures,March
Roofman,22345532.0,2025-10-10,Paramount Pictures International,October
Nobody 2,21604985.0,2025-08-15,Universal Pictures International (UPI),August
Black Bag,21474035.0,2025-03-14,Focus Features,March
