Release,Total Gross,Release Date,Distributor,Release Month
Death of a Unicorn,12899252.0,2025-03-28,A24,March
Together,21273159.0,2025-07-30,Neon,July
Last Breath,21051180.0,2025-02-28,Focus Features,February
Companion,20809101.0,2025-01-31,Warner Bros.,January
Wolf Man,20707280.0,2025-01-17,Universal Pictures,January
Springsteen: Deliver Me from Nowhere,20396290.0,2025-10-24,Walt Disney Studios Motion Pictures,October
The Chosen: Last Supper,20257290.0,2025-03-28,-,March
Until Dawn,20172192.0,2025-04-25,Screen Gems,April
Novocaine,19861854.0,2025-03-14,Paramount Pictures International,March
The Phoenician Scheme,19555015.0,2025-05-30,Focus Features,May
Bring Her Back,19323752.0,2025-05-30,A24,May
Babygirl,28196732.0,2025-12-25,A24,December
Caught Stealing,19005242.0,2025-08-29,Sony Pictures Releasing,August
Hamilton2025 Re-release,16946377.0,2025-09-05,Walt Disney Studios Motion Pictures,September
Drop,16600805.0,2025-04-11,Universal Pictures International (UPI),April
Friendship,16228274.0,2025-05-09,A24,May
Good Fortune,16140566.0,2025-10-17,Lionsgate,October
Love Hurts,15683090.0,2025-02-07,Universal Pictures,February
The Brutalist,16279129.0,2025-12-20,A24,December
The Roses,15298844.0,2025-08-29,Walt Disney Studios Motion Pictures,August
The Last Rodeo,15201659.0,2025-05-23,Angel,May
The Strangers: Chapter 2,15153346.0,2025-09-26,Lionsgate,September
Jaws2025 Re-release (50th Anniversary),12819675.0,2025-08-29,-,August
The Chosen: Last Supper Part 2,12372228.0,2025-04-04,-,April
Bugonia,12310470.0,2025-10-24,Focus Features,October
The Chosen: Last Supper Part 3,11742410.0,2025-04-11,-,April
The Smashing Machine,11386575.0,2025-10-03,A24,October
Becoming Led Zeppelin,10403353.0,2025-02-07,Sony Pictures Classics,February
Eddington,10109484.0,2025-07-18,A24,July
The Day the Earth Blew Up: A Looney Tunes Movie,8875344.0,2025-03-14,Ketchup Entertainment,March
Sketch,8129808.0,2025-08-06,Angel,August
Gladiator II,172438016.0,2025-11-22,Paramount Pictures,November
Soul on Fire,7340109.0,2025-10-10,Affirm Films,October
Back to the Future40th Anniversary,7336905.0,2025-10-31,Universal Pictures International (UPI),October
Clown in a Cornfield,7251799.0,2025-05-09,RLJ Entertainment,May
Presence,6900044.0,2025-01-24,Neon,January
Princess Mononoke4K Restoration,6851056.0,2025-03-28,GKIDS,March
Homestead,20811864.0,2025-12-20,Angel,December
Toy Story2025 Re-release,6721383.0,2025-09-12,Walt Disney Studios Motion Pictures,September
The Life of Chuck,6712600.0,2025-06-06,Neon,June
A Big Bold Beautiful Journey,6671082.0,2025-09-19,Sony Pictures Releasing,September
Good Boy,6614122.0,2025-10-03,IFC Films,October
The Last Supper,6564857.0,2025-03-14,-,March
The Unbreakable Boy,6443813.0,2025-02-21,Lionsgate,February
Anora,20474295.0,2025-10-18,Neon,October
I'm Still Here,6233517.0,2025-01-17,Sony Pictures Classics,January
Pride & Prejudice20th Anniversary Re-Release,6193658.0,2025-04-20,Focus Features,April
The Alto Knights,6103664.0,2025-03-21,Warner Bros.,March
Truth & Treason,5953972.0,2025-10-17,Angel,October
Honey Don't!,5810510.0,2025-08-22,Focus Features,August
Dan Da Dan: Evil Eye,5637078.0,2025-06-06,GKIDS,June
The Senior,5292380.0,2025-09-19,Angel,September
Hurry Up Tomorrow,5215357.0,2025-05-16,Lionsgate,May
Light of the World,5213377.0,2025-09-05,-,September
The Last Showgirl,4799804.0,2025-12-13,Roadside Attractions,December
Brave the Dark,4525443.0,2025-01-24,Angel,January
Sarah's Oil,4458000.0,2025-11-07,Amazon MGM Studios,November
Shelby Oaks,4400919.0,2025-10-24,Neon,October
Avatar: The Way of Water2025  Re-release,4383734.0,2025-10-03,Walt Disney Studios Motion Pictures,October
Shin Godzilla2025 Re-release,4042146.0,2025-08-14,GKIDS,August
The Friend,3941217.0,2025-03-28,Bleecker Street Media,March
Shadow Force,3933483.0,2025-05-09,Lionsgate,May
Stitch Head,3868935.0,2025-10-29,Briarcliff Entertainment,October
Colorful Stage! The Movie: A Miku Who Can't Sing,3661284.0,2025-04-18,GKIDS,April
Chhaava,4800000.0,2025-02-14,Yash Raj Films,February
Fight or Flight,3522025.0,2025-05-09,Vertical Entertainment,May
The Penguin Lessons,3294990.0,2025-03-28,Sony Pictures Classics,March
2025 Oscar Nominated Short Films: Live Action,3275477.0,2025-02-14,ShortsTV,February
After the Hunt,3258830.0,2025-10-10,Amazon MGM Studios,October
Jujutsu Kaisen: Hidden Inventory / Premature Death - The Movie,3257365.0,2025-07-16,GKIDS,July
Hell of a Summer,3182678.0,2025-04-04,Neon,April
Relay,3164481.0,2025-08-22,Bleecker Street Media,August
Kraven the Hunter,25026310.0,2025-12-13,Sony Pictures Releasing,December
War 2,3087065.0,2025-08-14,Yash Raj Films USA Inc.,August
The Fire Inside,8093190.0,2025-12-25,Amazon MGM Studios,December
Rule Breakers,2969825.0,2025-03-07,Angel,March
Attack on Titan the Movie: The Last Attack,2890192.0,2025-02-10,Sony Pictures Releasing,February
The Toxic Avenger,2866783.0,2025-08-29,Iconic Events Releasing,August
Dangerous Animals,2738137.0,2025-06-06,IFC Films,June
Nickel Boys,2858346.0,2025-12-13,Amazon MGM Studios,December
Pink Floyd: Live at Pompeii2025 Re-release,2620076.0,2025-04-24,Trafalgar Releasing,April
Eleanor the Great,2568211.0,2025-09-26,Sony Pictures Classics,September
Flow,4844117.0,2025-11-22,Janus Films,November
No Other Land,2549422.0,2025-01-31,-,January
Spinal Tap II: The End Continues,2508554.0,2025-09-12,Bleecker Street Media,September
The Legend of Ochi,2475373.0,2025-04-18,A24,April
Coolie,2450000.0,2025-08-15,Prathyangira Cinemas,August
"Sorry, Baby",2347089.0,2025-06-27,A24,June
September 5,2508723.0,2025-12-13,Paramount Pictures International,December
The Room Next Door,2519488.0,2025-12-20,Sony Pictures Classics,December
Spider-Man/Spider-Man 2/Spider-Man 3Fathom 2025,2250977.0,2025-09-26,-,September
Detective Chinatown 1900,2229946.0,2025-01-29,CMC Pictures,January
DogmaDogma: Resurrected! A 25th Anniversary Celebration,2193805.0,2025-06-05,Iconic Events Releasing,June
The Wedding Banquet,2090228.0,2025-04-18,Bleecker Street Media,April
"Oh, Hi!",2082113.0,2025-07-25,Sony Pictures Classics,July
Game Changer,2100000.0,2025-01-10,Shloka Entertainments,January
Sight & Sound Presents: NOAH Live,2059719.0,2025-09-18,-,September
Opus,1993397.0,2025-03-14,A24,March
Better Man,1983648.0,2025-12-25,Paramount Pictures International,December
Jane Austen Wrecked My Life,1900978.0,2025-05-23,Sony Pictures Classics,May
Splitsville,1900750.0,2025-08-22,Neon,August
In the Lost Lands,1870305.0,2025-03-07,Vertical Entertainment,March
Riff Raff,1862519.0,2025-02-27,Roadside Attractions,February
Night of the Zoopocalypse,2108907.0,2025-03-07,Viva Pictures,March
Creation of the Gods II: Demon Force,1853487.0,2025-01-31,Well Go USA Entertainment,January
Casper2025 Re-release,1840230.0,2025-10-03,Universal Pictures,October
Kuberaa,1750000.0,2025-06-20,Prathyangira Cinemas,June
Green and Gold,1719105.0,2025-01-31,Fathom Events,January
Pets on a Train,1706096.0,2025-10-17,Viva Pictures,October
Dead of Winter,1674777.0,2025-09-26,Vertical Entertainment,September
Perfect Blue2025 Re-release,1637777.0,2025-10-03,GKIDS,October
Locked,1632758.0,2025-03-21,The Avenue Entertainment,March
Kiss of the Spider Woman,1623221.0,2025-10-10,Lionsgate,October
The Ballad of Wallis Island,1607835.0,2025-03-28,Focus Features,March
The Sound of Music60th Anniversary,1601237.0,2025-09-12,Fathom Events,September
Twilight2025 Re-release,1591340.0,2025-10-29,-,October
Blue Moon,1577210.0,2025-10-17,Sony Pictures Classics,October
The Home,1576983.0,2025-07-25,Lionsgate,July
Eden,1573396.0,2025-08-22,Vertical Entertainment,August
Saiyaara,3359480.0,2025-07-18,Yash Raj Films USA Inc.,July
Highest 2 Lowest,1500000.0,2025-08-15,A24,August
Bad Shabbos,1531728.0,2025-12-06,Menemsha Films,December
Nuremberg,1450000.0,2025-11-07,Sony Pictures Classics,November
"It's Never Over, Jeff Buckley",1448031.0,2025-08-08,Magnolia Pictures,August
October 8,1368458.0,2025-03-14,Briarcliff Entertainment,March
Bone Lake,1353079.0,2025-10-03,Bleecker Street Media,October
The Damned,1342796.0,2025-01-03,Vertical Entertainment,January
The Surfer,1306597.0,2025-05-02,Roadside Attractions,May
Conclave,32580655.0,2025-10-25,Focus Features,October
Twinless,1261731.0,2025-09-05,Roadside Attractions,September
My Dead Friend Zoe,1250703.0,2025-02-28,Briarcliff Entertainment,February
Valiant One,1236630.0,2025-01-31,Briarcliff Entertainment,January
Mobile Suit Gundam GQuuuuuuX: Beginning,1223881.0,2025-02-28,GKIDS,February
Howl's Moving CastleStudio Ghibli Fest 2025,1178646.0,2025-09-20,Fathom Events,September
Magazine Dreams,1166243.0,2025-03-21,Briarcliff Entertainment,March
Anemone,1161830.0,2025-10-03,Focus Features,October
